is_stress,Area,Cutoff,Participant,Dom,avg_dur
1,4.017514030303099,0.1,p111,L2,0.12143330571665231
0,3.3486187218481938,0.1,p111,L2,0.12143330571665231
1,3.5084623046006245,0.15,p111,L2,0.12143330571665231
0,2.990105514519839,0.15,p111,L2,0.12143330571665231
1,3.4291032144182463,0.2,p111,L2,0.12143330571665231
0,2.464699785629263,0.2,p111,L2,0.12143330571665231
1,3.0763469208390757,0.25,p111,L2,0.12143330571665231
0,2.1789235534106774,0.25,p111,L2,0.12143330571665231
1,2.8325346761905905,0.3,p111,L2,0.12143330571665231
0,2.108241617979124,0.3,p111,L2,0.12143330571665231
1,4.469077170928704,0.1,p113,biling,0.14827210884354053
0,3.14299676770579,0.1,p113,biling,0.14827210884354053
1,4.267160613304069,0.15,p113,biling,0.14827210884354053
0,2.9674797180452646,0.15,p113,biling,0.14827210884354053
1,4.057549050242813,0.2,p113,biling,0.14827210884354053
0,2.8054721152313715,0.2,p113,biling,0.14827210884354053
1,3.7572730610212806,0.25,p113,biling,0.14827210884354053
0,2.7397367513194633,0.25,p113,biling,0.14827210884354053
1,3.6836804314828893,0.3,p113,biling,0.14827210884354053
0,2.66886668153682,0.3,p113,biling,0.14827210884354053
1,3.788811300502167,0.1,p114,biling,0.17616475722858685
0,3.385642105832958,0.1,p114,biling,0.17616475722858685
1,3.6046168870325705,0.15,p114,biling,0.17616475722858685
0,2.5976367073369744,0.15,p114,biling,0.17616475722858685
1,3.4216493909989243,0.2,p114,biling,0.17616475722858685
0,2.140318913479623,0.2,p114,biling,0.17616475722858685
1,3.3373550060606427,0.25,p114,biling,0.17616475722858685
0,2.1201743716229857,0.25,p114,biling,0.17616475722858685
1,3.147090783469236,0.3,p114,biling,0.17616475722858685
0,2.03787759773062,0.3,p114,biling,0.17616475722858685
1,4.476948570592734,0.1,p117,L2,0.13014394580863994
0,3.796066671487957,0.1,p117,L2,0.13014394580863994
1,4.095700579247917,0.15,p117,L2,0.13014394580863994
0,3.5600215008442606,0.15,p117,L2,0.13014394580863994
1,3.6837445699779297,0.2,p117,L2,0.13014394580863994
0,3.5034837475995997,0.2,p117,L2,0.13014394580863994
1,3.0600573159516746,0.25,p117,L2,0.13014394580863994
0,3.4594645761921505,0.25,p117,L2,0.13014394580863994
1,2.9504068312840324,0.3,p117,L2,0.13014394580863994
0,3.437782752229124,0.3,p117,L2,0.13014394580863994
1,3.7905992028681856,0.1,p118,biling,0.13398086828550498
0,3.574529495927985,0.1,p118,biling,0.13398086828550498
1,3.689503198386732,0.15,p118,biling,0.13398086828550498
0,2.960572119177198,0.15,p118,biling,0.13398086828550498
1,3.6195321330734282,0.2,p118,biling,0.13398086828550498
0,2.6846698960250497,0.2,p118,biling,0.13398086828550498
1,3.570705075097101,0.25,p118,biling,0.13398086828550498
0,2.240494517139016,0.25,p118,biling,0.13398086828550498
1,3.4530854873270136,0.3,p118,biling,0.13398086828550498
0,1.808651962044418,0.3,p118,biling,0.13398086828550498
1,4.7969587511659935,0.1,p120,biling,0.14026568265683126
0,4.121827136639622,0.1,p120,biling,0.14026568265683126
1,4.675090376583874,0.15,p120,biling,0.14026568265683126
0,3.292123632329119,0.15,p120,biling,0.14026568265683126
1,4.308609896396074,0.2,p120,biling,0.14026568265683126
0,2.5998390592752827,0.2,p120,biling,0.14026568265683126
1,4.26499401171259,0.25,p120,biling,0.14026568265683126
0,1.9999281150934574,0.25,p120,biling,0.14026568265683126
1,4.223648866039349,0.3,p120,biling,0.14026568265683126
0,1.4472080381251464,0.3,p120,biling,0.14026568265683126
1,4.37656287410014,0.1,p121,L2,0.15769016050244652
0,3.3821394629854145,0.1,p121,L2,0.15769016050244652
1,3.706754638326885,0.15,p121,L2,0.15769016050244652
0,3.3158646713304933,0.15,p121,L2,0.15769016050244652
1,3.5009102911866927,0.2,p121,L2,0.15769016050244652
0,3.113499395939073,0.2,p121,L2,0.15769016050244652
1,3.43765177119438,0.25,p121,L2,0.15769016050244652
0,3.0323565907368493,0.25,p121,L2,0.15769016050244652
1,2.971534451662187,0.3,p121,L2,0.15769016050244652
0,2.891676826670573,0.3,p121,L2,0.15769016050244652
1,4.152294044862079,0.1,p122,biling,0.13994310099573462
0,3.593342571387851,0.1,p122,biling,0.13994310099573462
1,3.9958615482054327,0.15,p122,biling,0.13994310099573462
0,3.261058042571845,0.15,p122,biling,0.13994310099573462
1,3.900084080343527,0.2,p122,biling,0.13994310099573462
0,3.146726541934341,0.2,p122,biling,0.13994310099573462
1,3.646371534721039,0.25,p122,biling,0.13994310099573462
0,2.6845836541430095,0.25,p122,biling,0.13994310099573462
1,2.2427827350158624,0.3,p122,biling,0.13994310099573462
0,2.2165305141681655,0.3,p122,biling,0.13994310099573462
1,4.115226399242318,0.1,p123,L2,0.13173216885007627
0,3.295666971433218,0.1,p123,L2,0.13173216885007627
1,3.4638524125603434,0.15,p123,L2,0.13173216885007627
0,2.954192895814335,0.15,p123,L2,0.13173216885007627
1,3.39473843294802,0.2,p123,L2,0.13173216885007627
0,2.862347885134315,0.2,p123,L2,0.13173216885007627
1,3.304366072960754,0.25,p123,L2,0.13173216885007627
0,2.7324251771604295,0.25,p123,L2,0.13173216885007627
1,3.1069210555587747,0.3,p123,L2,0.13173216885007627
0,2.671675770226709,0.3,p123,L2,0.13173216885007627
1,4.693386991955453,0.1,p124,biling,0.11502586206896383
0,4.369761604315534,0.1,p124,biling,0.11502586206896383
1,4.528679459963449,0.15,p124,biling,0.11502586206896383
0,4.106796892401507,0.15,p124,biling,0.11502586206896383
1,4.272974403638738,0.2,p124,biling,0.11502586206896383
0,3.286463899449358,0.2,p124,biling,0.11502586206896383
1,4.205075973845043,0.25,p124,biling,0.11502586206896383
0,3.1015874075859036,0.25,p124,biling,0.11502586206896383
1,3.863828124955729,0.3,p124,biling,0.11502586206896383
0,3.0002418093832817,0.3,p124,biling,0.11502586206896383
1,3.504567011894519,0.1,p126,L2,0.14369302949061313
0,2.819074729703892,0.1,p126,L2,0.14369302949061313
1,3.295432848584137,0.15,p126,L2,0.14369302949061313
0,2.349994349531075,0.15,p126,L2,0.14369302949061313
1,2.969847762735842,0.2,p126,L2,0.14369302949061313
0,2.2412125757334787,0.2,p126,L2,0.14369302949061313
1,2.9045029552721693,0.25,p126,L2,0.14369302949061313
0,2.127020773659901,0.25,p126,L2,0.14369302949061313
1,2.833456593530811,0.3,p126,L2,0.14369302949061313
0,1.994570314932798,0.3,p126,L2,0.14369302949061313
1,3.813748505498855,0.1,p119,biling,0.12601275917065463
0,3.1798030485552444,0.1,p119,biling,0.12601275917065463
1,3.1940890750500945,0.15,p119,biling,0.12601275917065463
0,3.0318674823680443,0.15,p119,biling,0.12601275917065463
1,3.1375098713130294,0.2,p119,biling,0.12601275917065463
0,2.5703667758535707,0.2,p119,biling,0.12601275917065463
1,3.0668335221741065,0.25,p119,biling,0.12601275917065463
0,2.3786187315325367,0.25,p119,biling,0.12601275917065463
1,3.0114679963814197,0.3,p119,biling,0.12601275917065463
0,2.3389137380176295,0.3,p119,biling,0.12601275917065463
